wave_dt,version,item_index,category,dominant_subsystem,n_annotated_commits,n_matched_commits,n_files,lines_added,lines_deleted,touches_tests,docs_only
2024-02-08,15.6,8,Other functionality,core_server,4,3,1,23,5,0,0
2024-02-08,15.6,9,Other functionality,core_server,12,6,1,1,0,0,0
2024-02-08,15.6,10,Crash & corruption,core_server,6,3,4,64,20,1,0
2024-02-08,15.6,11,Crash & corruption,core_server,4,3,1,1,2,0,0
2024-02-08,15.6,12,Other functionality,core_server,6,3,3,30,0,1,0
2024-02-08,15.6,13,Other functionality,core_server,6,3,4,132,30,1,0
2024-02-08,15.6,14,Other functionality,core_server,6,3,1,15,8,0,0
2024-02-08,15.6,15,Other functionality,core_server,6,3,10,141,56,1,0
2024-02-08,15.6,16,Crash & corruption,core_server,12,6,1,95,95,0,0
2024-02-08,15.6,17,Other functionality,core_server,6,3,3,8,1,1,0
2024-02-08,15.6,18,Wrong results & planner,core_server,6,3,3,29,4,1,0
2024-02-08,15.6,19,Wrong results & planner,core_server,6,3,3,80,44,1,0
2024-02-08,15.6,20,Other functionality,core_server,3,3,1,3,0,0,0
2024-02-08,15.6,21,Other functionality,core_server,6,3,1,8,1,0,0
2024-02-08,15.6,22,Other functionality,core_server,6,3,1,4,1,0,0
2024-02-08,15.6,23,Other functionality,core_server,8,6,1,18,1,0,0
2024-02-08,15.6,24,Crash & corruption,core_server,6,3,7,418,20,1,0
2024-02-08,15.6,25,Other functionality,core_server,6,3,1,5,1,0,0
2024-02-08,15.6,26,Other functionality,core_server,6,3,3,77,11,1,0
2024-02-08,15.6,27,Other functionality,core_server,6,3,9,54,55,1,0
2024-02-08,15.6,28,Other functionality,core_server,2,2,1,1,1,0,0
2024-02-08,15.6,29,Crash & corruption,core_server,6,6,2,9,0,0,0
2024-02-08,15.6,30,Replication & recovery,replication_recovery,3,3,1,34,0,0,0
2024-02-08,15.6,31,Replication & recovery,replication_recovery,6,3,1,1,0,0,0
2024-02-08,15.6,32,Replication & recovery,replication_recovery,3,3,1,37,9,0,0
2024-02-08,15.6,33,Crash & corruption,replication_recovery,6,3,1,15,5,0,0
2024-02-08,15.6,34,Replication & recovery,replication_recovery,3,3,2,55,2,1,0
