dim_release_key,release_dt,category,category_order,is_out_of_band,fix_cnt,fix_share
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,"Data types, text & collation",8,false,6,0.080000
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,Execution & correctness,2,false,11,0.146667
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,Extensions & contrib,11,false,4,0.053333
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,Indexes,3,false,4,0.053333
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,"Numeric, overflow & limits",7,false,2,0.026667
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,Partitioning & inheritance,4,false,2,0.026667
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,Planner & optimizer,1,false,8,0.106667
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,Replication & recovery,5,false,9,0.120000
cef63e90a9cb8fd660c730931ca1e05c,2026-02-12,"Storage, vacuum & TOAST",13,false,4,0.053333
dbd342bf889401ef27850f02400ed7c3,2021-11-11,Build & platform,12,false,2,0.044444
dbd342bf889401ef27850f02400ed7c3,2021-11-11,Client interfaces,10,false,3,0.066667
dbd342bf889401ef27850f02400ed7c3,2021-11-11,Client tools,9,false,5,0.111111
dbd342bf889401ef27850f02400ed7c3,2021-11-11,"Concurrency, locking & crashes",6,false,6,0.133333
dbd342bf889401ef27850f02400ed7c3,2021-11-11,"Data types, text & collation",8,false,2,0.044444
dbd342bf889401ef27850f02400ed7c3,2021-11-11,Execution & correctness,2,false,8,0.177778
dbd342bf889401ef27850f02400ed7c3,2021-11-11,Extensions & contrib,11,false,1,0.022222
dbd342bf889401ef27850f02400ed7c3,2021-11-11,Indexes,3,false,6,0.133333
dbd342bf889401ef27850f02400ed7c3,2021-11-11,"Numeric, overflow & limits",7,false,2,0.044444
dbd342bf889401ef27850f02400ed7c3,2021-11-11,Planner & optimizer,1,false,4,0.088889
dbd342bf889401ef27850f02400ed7c3,2021-11-11,Replication & recovery,5,false,4,0.088889
dbd342bf889401ef27850f02400ed7c3,2021-11-11,"Storage, vacuum & TOAST",13,false,2,0.044444
e689c36b2ed92991eecb44650ef67992,2022-11-10,Build & platform,12,false,6,0.127660
e689c36b2ed92991eecb44650ef67992,2022-11-10,Client interfaces,10,false,3,0.063830
e689c36b2ed92991eecb44650ef67992,2022-11-10,Client tools,9,false,4,0.085106
e689c36b2ed92991eecb44650ef67992,2022-11-10,"Concurrency, locking & crashes",6,false,11,0.234043
e689c36b2ed92991eecb44650ef67992,2022-11-10,"Data types, text & collation",8,false,3,0.063830
e689c36b2ed92991eecb44650ef67992,2022-11-10,Execution & correctness,2,false,6,0.127660
e689c36b2ed92991eecb44650ef67992,2022-11-10,Indexes,3,false,2,0.042553
e689c36b2ed92991eecb44650ef67992,2022-11-10,"Numeric, overflow & limits",7,false,3,0.063830
e689c36b2ed92991eecb44650ef67992,2022-11-10,Partitioning & inheritance,4,false,2,0.042553
e689c36b2ed92991eecb44650ef67992,2022-11-10,Planner & optimizer,1,false,4,0.085106
e689c36b2ed92991eecb44650ef67992,2022-11-10,Replication & recovery,5,false,2,0.042553
e689c36b2ed92991eecb44650ef67992,2022-11-10,"Storage, vacuum & TOAST",13,false,1,0.021277
